                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.1943,                  2.677,                 1.6486,                0.61489,                0.24229,                0.22743,                0.08678,                 2.0613,                 2.3044,                 1.6591,             0.00047127,             0.00047127,             0.00047127
                      2,                 1.9856,                 2.0212,                 1.5229,                0.28338,                0.31437,                0.29348,                0.12375,                 1.9857,                 1.9763,                 1.6299,             0.00092884,             0.00092884,             0.00092884
                      3,                 1.9511,                 1.8714,                 1.5261,                 0.6794,                0.34634,                0.33315,                0.13886,                 2.0048,                 1.7679,                 1.5775,              0.0013675,              0.0013675,              0.0013675
                      4,                 1.9206,                 1.7887,                  1.519,                0.70785,                0.37823,                 0.3554,                0.14883,                 1.9789,                 1.6854,                 1.5576,              0.0013441,              0.0013441,              0.0013441
                      5,                 1.8666,                 1.6936,                 1.4722,                0.37788,                0.36049,                0.37142,                0.16808,                 1.9433,                 1.6296,                 1.5622,              0.0013158,              0.0013158,              0.0013158
                      6,                 1.8425,                 1.6035,                 1.4778,                0.40872,                0.39442,                0.39814,                0.18071,                 1.8674,                  1.528,                 1.5302,              0.0012875,              0.0012875,              0.0012875
                      7,                 1.8397,                 1.5613,                 1.4713,                0.71611,                0.40428,                0.39693,                0.18457,                 1.8622,                 1.5008,                 1.5187,              0.0012592,              0.0012592,              0.0012592
                      8,                 1.7816,                 1.5196,                 1.4415,                0.78164,                0.43824,                0.44897,                0.21779,                 1.8426,                 1.3815,                 1.5002,              0.0012309,              0.0012309,              0.0012309
                      9,                 1.7903,                  1.472,                 1.4238,                 0.4217,                0.44624,                0.44916,                 0.2146,                 1.8451,                 1.3808,                 1.5025,              0.0012026,              0.0012026,              0.0012026
                     10,                 1.7596,                 1.4373,                 1.4305,                0.76334,                0.44418,                0.43132,                0.20635,                 1.8114,                  1.386,                 1.4959,              0.0011744,              0.0011744,              0.0011744
                     11,                 1.7321,                 1.4139,                 1.4025,                0.42068,                0.41845,                0.42822,                0.20121,                 1.8732,                 1.4263,                 1.5117,              0.0011461,              0.0011461,              0.0011461
                     12,                 1.7419,                 1.3867,                 1.4054,                0.45832,                0.46212,                0.47157,                0.23121,                 1.8301,                 1.2847,                 1.4865,              0.0011178,              0.0011178,              0.0011178
                     13,                 1.6918,                 1.3355,                 1.3903,                0.83539,                0.43125,                0.49083,                0.24816,                 1.7751,                 1.3046,                 1.4774,              0.0010895,              0.0010895,              0.0010895
                     14,                 1.6862,                 1.3376,                 1.3826,                0.47045,                0.45278,                0.48393,                0.24532,                 1.7862,                 1.2458,                 1.4758,              0.0010612,              0.0010612,              0.0010612
                     15,                 1.6752,                 1.2998,                 1.3725,                 0.4105,                0.55565,                  0.494,                0.24836,                 1.7659,                 1.2307,                 1.4693,              0.0010329,              0.0010329,              0.0010329
                     16,                   1.64,                 1.2712,                 1.3633,                0.64853,                0.48723,                0.51047,                 0.2513,                 1.7687,                 1.2649,                 1.4757,              0.0010046,              0.0010046,              0.0010046
                     17,                 1.6608,                 1.2614,                 1.3649,                0.81059,                0.49525,                0.52781,                0.26682,                 1.7523,                 1.1509,                 1.4474,             0.00097629,             0.00097629,             0.00097629
