                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1779,                 1.5185,                 2.6117,                0.50818,                0.69493,                0.55915,                0.31755,                 1.2707,                 1.4644,                 3.1302,              0.0004727,              0.0004727,              0.0004727
                      2,                 1.1761,                 1.4423,                 2.6073,                0.49356,                0.70484,                0.56903,                0.35148,                 1.2505,                 1.5489,                 3.1919,             0.00093964,             0.00093964,             0.00093964
                      3,                 1.2546,                  1.493,                 2.6556,                0.54834,                0.58638,                0.58504,                0.35456,                 1.3154,                 1.3984,                 3.0808,              0.0013971,              0.0013971,              0.0013971
                      4,                 1.2043,                 1.4568,                 2.6511,                0.56171,                0.63347,                0.62447,                0.37728,                 1.2323,                 1.3387,                 3.0977,              0.0013866,              0.0013866,              0.0013866
                      5,                 1.1708,                 1.3813,                 2.5859,                0.52165,                0.67778,                0.58156,                0.35402,                 1.2264,                 1.4801,                 3.0473,              0.0013724,              0.0013724,              0.0013724
                      6,                 1.1386,                 1.3451,                 2.5655,                0.58861,                0.69703,                 0.6427,                0.40122,                 1.1455,                 1.3287,                 3.0179,              0.0013583,              0.0013583,              0.0013583
                      7,                 1.1205,                 1.3287,                 2.5485,                0.54351,                0.68221,                0.62169,                0.39938,                 1.1688,                 1.3968,                 3.1097,              0.0013441,              0.0013441,              0.0013441
                      8,                 1.0856,                 1.3079,                 2.5487,                 0.6214,                  0.679,                0.68213,                0.43276,                  1.251,                 1.2859,                 3.0712,                0.00133,                0.00133,                0.00133
                      9,                 1.0963,                 1.2799,                 2.5598,                0.60908,                0.70011,                0.66893,                0.43315,                 1.1296,                 1.2547,                  3.097,              0.0013158,              0.0013158,              0.0013158
                     10,                 1.0756,                 1.2658,                 2.5485,                0.66931,                0.66447,                 0.6809,                0.43229,                 1.1173,                 1.2134,                 3.0244,              0.0013017,              0.0013017,              0.0013017
                     11,                 1.0488,                 1.2187,                 2.5066,                0.64109,                0.70506,                0.66974,                0.44498,                 1.0778,                 1.1819,                  3.034,              0.0012875,              0.0012875,              0.0012875
                     12,                 1.0436,                 1.2076,                 2.5227,                0.66546,                0.69495,                0.71894,                0.47591,                 1.0128,                 1.1164,                 2.9606,              0.0012734,              0.0012734,              0.0012734
                     13,                 1.0349,                 1.1802,                  2.509,                0.63654,                0.69831,                0.70741,                0.48798,                 1.0597,                  1.166,                 2.9626,              0.0012592,              0.0012592,              0.0012592
                     14,                 1.0302,                  1.192,                 2.4887,                0.64688,                0.70778,                0.73286,                0.49263,                 1.0272,                 1.1353,                 2.9031,              0.0012451,              0.0012451,              0.0012451
                     15,                 1.0175,                 1.1463,                 2.4558,                0.63611,                 0.7054,                 0.6657,                0.44872,                 1.0822,                 1.1702,                 3.0205,              0.0012309,              0.0012309,              0.0012309
                     16,                0.99731,                  1.142,                 2.4638,                0.69289,                0.68156,                0.71553,                0.47856,                 1.0439,                 1.0883,                 2.9941,              0.0012168,              0.0012168,              0.0012168
                     17,                0.98751,                 1.1309,                 2.4567,                0.67395,                 0.6763,                0.67374,                0.43706,                 1.1208,                 1.1717,                 3.0188,              0.0012026,              0.0012026,              0.0012026
                     18,                 0.9797,                 1.1005,                 2.4373,                0.65709,                0.70733,                0.68819,                0.46307,                 1.0201,                 1.1034,                 2.8825,              0.0011885,              0.0011885,              0.0011885
                     19,                0.98483,                 1.1052,                 2.4481,                0.68625,                0.75561,                0.73483,                0.51124,                0.96786,                 1.0415,                 2.8783,              0.0011744,              0.0011744,              0.0011744
                     20,                 0.9772,                 1.1069,                 2.4633,                0.71223,                0.72066,                0.75033,                0.51942,                0.99884,                 1.0866,                 2.8559,              0.0011602,              0.0011602,              0.0011602
                     21,                 0.9705,                 1.0829,                 2.4481,                0.66714,                0.72496,                0.70883,                0.49079,                 1.0228,                 1.1261,                  2.919,              0.0011461,              0.0011461,              0.0011461
                     22,                0.95338,                 1.0823,                 2.4281,                0.73858,                0.73046,                0.78398,                0.55506,                0.99055,                0.98578,                 2.8442,              0.0011319,              0.0011319,              0.0011319
                     23,                0.94411,                 1.0643,                 2.4191,                0.69554,                0.74279,                 0.7629,                0.54336,                0.92222,                 1.0212,                 2.7973,              0.0011178,              0.0011178,              0.0011178
                     24,                   0.94,                 1.0439,                 2.4117,                0.71508,                0.76912,                0.74438,                0.52288,                0.95421,                0.99846,                 2.8939,              0.0011036,              0.0011036,              0.0011036
                     25,                0.94347,                 1.0389,                 2.4239,                0.68081,                0.71038,                0.72235,                0.50426,                0.99884,                 1.0961,                 2.8398,              0.0010895,              0.0010895,              0.0010895
                     26,                  0.942,                 1.0483,                 2.4113,                0.65286,                 0.7485,                0.75347,                 0.5345,                0.99195,                 1.0407,                 2.8702,              0.0010753,              0.0010753,              0.0010753
                     27,                0.92432,                0.99673,                 2.4066,                0.68183,                0.75211,                0.74291,                0.51818,                0.95463,                 1.0603,                 2.8731,              0.0010612,              0.0010612,              0.0010612
                     28,                0.94424,                 1.0358,                 2.4144,                0.73291,                0.71785,                0.77149,                0.55435,                0.97159,                0.96619,                 2.8812,               0.001047,               0.001047,               0.001047
                     29,                0.92411,                 1.0207,                 2.4065,                0.71394,                0.73205,                0.74867,                0.51532,                 1.0081,                  1.033,                 2.8624,              0.0010329,              0.0010329,              0.0010329
                     30,                0.91445,                 1.0054,                 2.3987,                0.68656,                0.70547,                0.70876,                0.50594,                 0.9292,                 1.0606,                 2.7915,              0.0010187,              0.0010187,              0.0010187
                     31,                0.91295,                0.97263,                 2.3851,                0.68979,                0.74531,                0.74444,                0.52909,                0.93569,                 1.0645,                 2.8396,              0.0010046,              0.0010046,              0.0010046
                     32,                0.91347,                0.98626,                 2.4085,                 0.7261,                0.73667,                0.77914,                0.57228,                0.89481,                0.94652,                 2.7896,             0.00099044,             0.00099044,             0.00099044
                     33,                0.90987,                0.97046,                 2.3963,                0.72824,                0.69899,                0.74357,                0.53034,                0.98704,                 1.0093,                 2.8548,             0.00097629,             0.00097629,             0.00097629
                     34,                0.88605,                0.94706,                  2.373,                0.72175,                0.72518,                0.77119,                0.57505,                0.91103,                0.95657,                 2.8011,             0.00096215,             0.00096215,             0.00096215
                     35,                 0.9035,                0.97643,                 2.4134,                0.70449,                0.71753,                0.74032,                0.53999,                0.93242,                0.98862,                 2.7589,               0.000948,               0.000948,               0.000948
                     36,                0.88663,                0.94089,                 2.3891,                0.75883,                0.73632,                0.77939,                0.57527,                0.92008,                0.91902,                  2.787,             0.00093385,             0.00093385,             0.00093385
                     37,                0.88192,                0.94554,                 2.3742,                0.73199,                0.69882,                0.74247,                0.54526,                0.89302,                 1.0143,                 2.7538,              0.0009197,              0.0009197,              0.0009197
                     38,                0.89262,                0.94279,                  2.369,                 0.7525,                0.75104,                0.79289,                0.57549,                0.91399,                0.92215,                 2.8308,             0.00090556,             0.00090556,             0.00090556
                     39,                0.88227,                0.93414,                 2.3715,                0.74468,                0.72183,                0.77732,                0.56079,                0.94737,                0.93812,                 2.8321,             0.00089141,             0.00089141,             0.00089141
                     40,                0.86725,                0.92568,                 2.3792,                0.70965,                0.76998,                0.75817,                0.54079,                0.91318,                0.95379,                  2.787,             0.00087726,             0.00087726,             0.00087726
                     41,                0.87161,                0.91495,                 2.3563,                0.75305,                0.74762,                0.79425,                0.58432,                0.91682,                0.90732,                 2.8068,             0.00086312,             0.00086312,             0.00086312
                     42,                0.86808,                0.91345,                 2.3536,                0.73476,                 0.7716,                0.79093,                0.57329,                0.92855,                0.92444,                 2.7964,             0.00084897,             0.00084897,             0.00084897
